TLO,SLO," Objective"," Bloom Level"," Assessment Instrument"
1,," Describe the fundamental components of a modern operating system","Remember","Exam"
,1.1," Articulate process creation and destruction","Understand","Exam"
,1.2," Use system library code","Apply","Project 2"
,1.3," Use system documentation","Apply","Project 2"
,1.4," Apply computer science theory and software development fundamentals to produce computing-based solutions. **(ABET Outcome 6)**","Apply","Project 2"
,1.5," Use simple shell scripts and system tools to analyze process behavior","Apply","Project 5, Project 4"
2,," Describe the fundamental (core) abstractions used to implement Operating Systems","Understand","Exam"
,2.1," Demonstrate how low level memory is managed in user space","Apply","Project 3"
,2.2," Explore the system call interface","Apply","Project 2 , Project 6"
,2.3," Show an understanding of the difference between user and kernel space","Understand","Project 6"
,2.4," Articulate common problems arising in Operating System design and implementation","Understand","Exam"
3,,"Construct applications that utilize processes, threads, and synchronization primitives to solve problems requiring concurrent or parallel computation","Create","Project 4"
,3.1," Analyze a complex computing problem and apply principles of computing and other relevant disciplines to identify solutions. **(ABET Outcome 1)**","Analyze","Project 4"
,3.2," Explore the effects of multiple threads operating on the same buffer","Apply","Project 4"
,3.3," Identify the sources of deadlocks, race conditions, memory stomps and data loss","Apply","Project 5"
,3.4," Apply concurrent programming techniques such as threads, event loops, and inter-process communication","Apply","Project 5"
4,," Practice secure programming techniques","Create","All Projects"
,4.1," Produce code that is free of all memory leaks","Apply","All Projects"
,4.2," Produce code without any out of bounds read/write errors","Apply","All Projects"
,4.3," Identify common attack vectors with respect to the operating system","Understand","Exam"
,4.4," Identify common programming constructs that cause security vulnerabilities","Understand","Exam"
5,," Use professional software engineering tools and techniques.","Apply","All Projects"
,5.1," Use a cross platform build system (win32, posix)","Apply","Project 0"
,5.2," Use a professional unit test framework  (win32, posix)","Apply","Project 0"
,5.3," Use a professional version control system (git)","Apply","Project 0"
,5.4," Explore compiling and running code on at least 2 different systems","Apply","Project 0"
,5.5,"Explore how to setup a continuous integration and testing project","Apply","Project 0"
